annee;variante;pib_mdeur_courants;pensions_pib;garantie_brute_pib;reprises_pib;depense_totale_pib;recettes_pib;cotisations_pib;pilier_obligatoire_pib;tva_affectee_pib;solde_regime_pib;solde_regime_plus_garantie_pib;coefficient_equilibre;dette_pib;sc1_depenses_pib;sc1_recettes_pib;sc1_solde_pib;ecart_de_solde_pib
2037;prospective;4164,7;12,031;0,252;0,057;12,227;8,451;8,060;2,239;0,000;-3,580;-3,776;0,702;44,767;14,028;13,541;-0,487;-3,289
2038;prospective;4274,3;12,039;0,252;0,062;12,229;8,433;8,044;2,234;0,000;-3,605;-3,795;0,701;49,039;14,037;13,507;-0,530;-3,265
2039;prospective;4386,9;12,045;0,251;0,067;12,230;8,415;8,026;2,229;0,000;-3,630;-3,815;0,699;53,414;14,043;13,470;-0,573;-3,242
2040;prospective;4500,2;12,031;0,250;0,072;12,210;8,407;8,019;2,228;0,000;-3,624;-3,803;0,699;57,887;14,044;13,434;-0,610;-3,193
2041;prospective;4611,8;12,019;0,249;0,076;12,192;8,405;8,018;2,227;0,000;-3,615;-3,787;0,699;62,481;14,055;13,402;-0,653;-3,134
2042;prospective;4724,6;11,996;0,247;0,081;12,163;8,433;8,047;2,235;0,000;-3,563;-3,730;0,703;67,118;14,069;13,368;-0,701;-3,029
2043;prospective;4836,1;11,969;0,246;0,085;12,130;8,428;8,043;2,234;0,000;-3,541;-3,702;0,704;71,857;14,098;13,339;-0,759;-2,943
2044;prospective;4947,9;11,934;0,245;0,090;12,089;8,429;8,045;2,235;0,000;-3,505;-3,660;0,706;76,658;14,133;13,308;-0,824;-2,836
2045;prospective;5060,2;11,877;0,244;0,094;12,028;8,441;8,058;2,238;0,000;-3,436;-3,586;0,711;81,480;14,165;13,279;-0,885;-2,701
2046;prospective;5170,3;11,831;0,245;0,098;11,977;8,435;8,052;2,237;0,000;-3,396;-3,542;0,713;86,393;14,197;13,250;-0,946;-2,596
2047;prospective;5282,0;11,776;0,245;0,102;11,919;8,453;8,071;2,242;0,000;-3,323;-3,466;0,718;91,294;14,224;13,221;-1,003;-2,463
2048;prospective;5394,1;11,720;0,245;0,106;11,859;8,434;8,053;2,237;0,000;-3,286;-3,425;0,720;96,236;14,266;13,196;-1,071;-2,354
2049;prospective;5508,5;11,646;0,245;0,110;11,782;8,430;8,050;2,236;0,000;-3,216;-3,351;0,724;101,142;14,315;13,171;-1,144;-2,207
2050;prospective;5621,9;11,562;0,246;0,113;11,695;8,431;8,051;2,236;0,000;-3,132;-3,265;0,729;106,053;14,365;13,147;-1,218;-2,046
2051;prospective;5737,0;11,480;0,246;0,116;11,611;8,428;8,049;2,236;0,000;-3,053;-3,183;0,734;110,919;14,415;13,126;-1,289;-1,894
2052;prospective;5854,7;11,395;0,247;0,119;11,523;8,445;8,067;2,241;0,000;-2,950;-3,078;0,741;115,689;14,457;13,101;-1,356;-1,722
2053;prospective;5974,3;11,292;0,248;0,122;11,418;8,435;8,057;2,238;0,000;-2,857;-2,983;0,747;120,380;14,505;13,083;-1,423;-1,561
2054;prospective;6097,0;11,180;0,249;0,124;11,305;8,424;8,046;2,235;0,000;-2,757;-2,882;0,753;124,953;14,551;13,064;-1,487;-1,395
2055;prospective;6223,5;11,049;0,250;0,126;11,173;8,422;8,045;2,235;0,000;-2,627;-2,751;0,762;129,356;14,585;13,046;-1,538;-1,213
2056;prospective;6350,0;10,924;0,251;0,128;11,047;8,414;8,038;2,233;0,000;-2,510;-2,633;0,770;133,675;14,621;13,030;-1,591;-1,042
2057;prospective;6479,7;10,788;0,253;0,130;10,911;8,431;8,056;2,238;0,000;-2,357;-2,480;0,782;138,363;14,651;13,012;-1,639;-0,841
2058;prospective;6611,6;10,642;0,254;0,132;10,764;8,416;8,041;2,234;0,000;-2,226;-2,348;0,791;143,010;14,681;12,998;-1,683;-0,665
2059;prospective;6747,1;10,478;0,255;0,133;10,600;8,409;8,034;2,232;0,000;-2,069;-2,191;0,803;147,563;14,704;12,981;-1,723;-0,468
2060;prospective;6883,9;10,313;0,256;0,134;10,434;8,411;8,037;2,233;0,000;-1,901;-2,023;0,816;152,059;14,737;12,968;-1,769;-0,254
2061;prospective;7021,9;10,156;0,258;0,136;10,278;8,410;8,036;2,232;0,000;-1,746;-1,868;0,828;156,511;14,779;12,957;-1,821;-0,046
2062;prospective;7162,1;10,006;0,259;0,137;10,128;8,429;8,055;2,238;0,000;-1,577;-1,699;0,842;160,889;14,823;12,948;-1,875;0,176
2063;prospective;7304,7;9,849;0,261;0,138;9,971;8,422;8,049;2,236;0,000;-1,426;-1,549;0,855;165,203;14,878;12,940;-1,939;0,390
2064;prospective;7448,7;9,701;0,263;0,140;9,825;8,414;8,040;2,233;0,000;-1,288;-1,412;0,867;169,487;14,954;12,933;-2,020;0,609
2065;prospective;7592,7;9,551;0,266;0,141;9,676;8,416;8,043;2,234;0,000;-1,135;-1,260;0,881;173,763;15,037;12,931;-2,107;0,847
2066;prospective;7737,0;9,405;0,268;0,143;9,531;8,408;8,035;2,232;0,000;-0,997;-1,123;0,894;178,035;15,109;12,926;-2,183;1,060
2067;prospective;7885,6;9,252;0,271;0,144;9,379;8,424;8,051;2,236;0,000;-0,829;-0,956;0,910;182,184;15,168;12,922;-2,246;1,290
2068;prospective;8038,1;9,094;0,273;0,145;9,222;8,444;8,071;2,242;0,000;-0,650;-0,778;0,929;186,206;15,224;12,920;-2,304;1,526
2069;prospective;8193,2;8,928;0,275;0,146;9,057;8,473;8,100;2,250;0,000;-0,455;-0,584;0,949;190,117;15,268;12,917;-2,351;1,767
2070;prospective;8352,0;8,763;0,277;0,147;8,892;8,513;8,140;2,261;0,000;-0,250;-0,379;0,972;193,880;15,300;12,910;-2,389;2,010
